Id_Penjualan,Id_Produk,Jumlah_Terjual,Harga_Jual,Tanggal_Penjualan
1,101,100,5.00,10/05/2024
2,102,50,10.00,10/06/2024
3,103,150,8.00,10/07/2024
4,104,75,12.00,10/08/2024
5,105,200,6.50,10/09/2024
6,106,120,9.00,10/10/2024
7,107,80,11.00,10/11/2024
8,108,100,7.50,10/12/2024
9,109,120,9.50,10/13/2024
10,110,70,13.00,10/14/2024
11,101,150,5.00,10/15/2024
12,102,80,10.00,10/16/2024
13,103,130,8.50,10/17/2024
14,104,60,12.00,10/18/2024
15,105,180,6.50,10/19/2024
16,106,110,9.00,10/20/2024
17,107,130,11.00,10/21/2024
18,108,200,7.50,10/22/2024
19,109,150,9.50,10/23/2024
20,110,90,13.00,10/24/2024
