Id_Produksi,Id_Produk,Jumlah,Tanggal_Produksi,Biaya_Produksi
1,101,500,10/01/2024,1500.00
2,102,300,10/02/2024,900.00
3,103,400,10/03/2024,1200.00
4,104,250,10/04/2024,800.00
5,101,600,10/05/2024,1800.00
6,105,700,10/06/2024,2100.00
7,106,800,10/07/2024,2400.00
8,107,500,10/08/2024,1500.00
9,108,300,10/09/2024,900.00
10,109,400,10/10/2024,1200.00
11,110,600,10/11/2024,1800.00
12,101,550,10/12/2024,1650.00
13,102,350,10/13/2024,1050.00
14,103,450,10/14/2024,1350.00
15,104,300,10/15/2024,900.00
16,105,750,10/16/2024,2250.00
17,106,900,10/17/2024,2700.00
18,107,600,10/18/2024,1800.00
19,108,350,10/19/2024,1050.00
20,109,450,10/20/2024,1350.00
